module,function,failureMode,effect,severity,risk,detectionMethod,requirements
src/types.rs,Domain::new,Accepts domain outside [0-232],Participant created with invalid domain,S3,LOW,validate_domain() guards entry; unit test domain_out_of_range,"REQ-PART-001|REQ-ASIL-006|REQ-DO-006"
src/types.rs,validate_domain,Off-by-one error accepts 233 or rejects 232,Valid domain rejected or invalid accepted,S2,LOW,Boundary tests Domain(232) PASS and Domain(233) FAIL,"REQ-PART-001|REQ-ASIL-006|REQ-DO-006|REQ-IEC-002"
src/types.rs,Sample::to_message,writer_guid encoded incorrectly,Receiver cannot extract GUID for replay detection,S2,LOW,Golden vector test sample_to_message_golden_vector,"REQ-RELAY-001|REQ-DO-007|REQ-SEC-010|REQ-HAZ-002"
src/types.rs,Sample::to_message,Payload bytes corrupted during clone,Subscriber receives wrong data - safety violation,S3,LOW,payload_integrity_byte_for_byte test; safe Rust Vec::clone,"REQ-HAZ-002|REQ-SEC-011|REQ-RELAY-001"
src/types.rs,Sample::from_message,GUID field missing in meta,Caller receives unexpected error or zero GUID,S1,LOW,Requirement-traced unit test for from_message,"REQ-RELAY-001|REQ-SEC-004|REQ-SEC-011"
src/types.rs,Sample::from_message,GUID hex string wrong length not caught,Corrupt writer_guid stored; replay detection fails,S2,LOW,hex::decode returns Err on wrong length,"REQ-SEC-004|REQ-RELAY-001"
src/error.rs,Error::as_relay,New Error variant added without as_relay branch,Variant maps to wrong sentinel,S2,LOW,Exhaustive match; compiler error if variant missing,"REQ-ERR-003|REQ-SEC-014|REQ-IEC-009"
src/error.rs,Error::as_relay,AccessDenied maps to wrong sentinel,Authorization failure appears as transport error,S2,LOW,Unit test for AccessDenied to NotConnected mapping,"REQ-SEC-014|REQ-ERR-003"
src/participant.rs,SubInner::push,Back-pressure policy not applied - queue grows unbounded,Memory exhaustion; system crash,S3,LOW,drop_newest_does_not_exceed_capacity test; explicit policy match,"REQ-MEM-002|REQ-ASIL-008|REQ-QOS-006|REQ-HAZ-001"
src/participant.rs,SubInner::push,Sample delivered to closed/unsubscribed subscriber,Stale data delivered after lifecycle end,S2,LOW,unsubscribed/closed guard at push() entry; unit tests,"REQ-IEC-005|REQ-SUB-004|REQ-HAZ-005"
src/participant.rs,SubInner::push,DropOldest removes wrong entry,Sample ordering violated; replay detection inconsistent,S2,LOW,drop_oldest_makes_room test verifies correct drop,"REQ-QOS-007|REQ-RT-001|REQ-HAZ-001"
src/participant.rs,SubInner::close,close() does not notify waiters - recv() blocks forever,Subscriber stuck; task leak,S3,LOW,notify_waiters() called in close(); unsubscribe_closes_channel test,"REQ-MEM-004|REQ-ASIL-007|REQ-IEC-010|REQ-HAZ-005"
src/participant.rs,SubInner::unsubscribe,unsubscribe() sets flag but not close() - recv() blocks,Section 6.4 violation: recv() never returns None,S3,LOW,unsubscribe() calls self.close(); regression test for section 6.4,"REQ-SUB-004|REQ-HAZ-005|REQ-IEC-005"
src/participant.rs,SampleReceiver::recv,Race between pop() and closed check - infinite loop,Task spins forever; CPU exhaustion,S2,LOW,Notify registered before closed check; prevents missed wakeup,"REQ-ASIL-010|REQ-MEM-005|REQ-CONC-001"
src/participant.rs,SampleReceiver::recv,Second drain after close() returns stale sample out-of-order,Application processes samples wrong order,S1,LOW,Sequential drain design; queue is FIFO VecDeque,"REQ-ASIL-010|REQ-INT-002"
src/mock/mod.rs,MockParticipant::new,Accepts invalid domain and creates participant,Participant in illegal domain; routing undefined,S2,LOW,validate_domain() at top of new(); unit test,"REQ-MOCK-001|REQ-PART-001|REQ-HAZ-004"
src/mock/mod.rs,Broker::publish,Sample delivered to subscriber on different topic,Cross-topic contamination - safety violation,S3,LOW,HashMap exact-key match; topic_isolation_no_cross_delivery test,"REQ-MOCK-002|REQ-IEC-005|REQ-HAZ-003"
src/mock/mod.rs,Broker::publish,Closed subscriber retained and receives samples,Delivery to dead subscriber; resource leak,S2,LOW,retain() removes closed subscribers before publish loop,"REQ-IEC-005|REQ-HAZ-003|REQ-MEM-004"
src/mock/mod.rs,Broker::subscribe,Two participants on different domains share broker,Cross-domain message leakage - ASIL-B violation,S3,LOW,Each MockParticipant holds own Arc<Broker>; domain_isolation test,"REQ-PART-001|REQ-HAZ-004|REQ-IEC-005"
src/mock/mod.rs,MockPublisher::write,write() succeeds after close(),Stale or unauthorized data published after close,S3,LOW,closed.load() check at top of write(); write_after_close test,"REQ-PUB-004|REQ-HAZ-007|REQ-ASIL-007"
src/mock/mod.rs,MockPublisher::write,Sequence number not incremented - duplicates,Replay detection confused; safety analysis invalid,S2,LOW,fetch_add(1) guaranteed atomic; sequence_numbers_monotonic test,"REQ-ASIL-005|REQ-SUB-005|REQ-INT-002|REQ-SEC-007"
src/mock/mod.rs,MockPublisher::write_ctx,Expired context not detected - write proceeds past deadline,Late data delivered; timing violation,S2,LOW,ctx.done() checked at entry; write_ctx_timeout test,"REQ-PUB-003|REQ-ASIL-010"
src/mock/mod.rs,MockParticipant::close,close() not idempotent - second call corrupts state,Double-close from concurrent tasks causes undefined state,S2,LOW,AtomicBool compare_exchange ensures at-most-once; idempotent test,"REQ-PART-005|REQ-ASIL-007|REQ-INT-003"
src/mock/mod.rs,MockParticipant::new_publisher,Publisher created after participant close,Publisher works but participant dead; samples lost,S2,LOW,closed.load() checked before creation; post-close test,"REQ-PART-006|REQ-ERR-001|REQ-ASIL-001"
src/mock/mod.rs,MockParticipant::new_subscriber,Subscriber created after participant close,Channel open but participant dead; recv() blocks forever,S2,LOW,closed.load() checked before creation; closed_state_irreversible test,"REQ-PART-006|REQ-ERR-001|REQ-INT-003"
src/adapt.rs,adapt,relay::Node::subscribe without topic,Forwarding task spawned with empty topic,S2,LOW,topic guard checks opts.topic is Some; subscribe_without_topic test,"REQ-RELAY-002|REQ-RELAY-003"
src/adapt.rs,DdsNode::send,Back-pressure policy not forwarded to relay mpsc,Relay adapter blocks caller despite DropNewest config,S2,LOW,policy captured before spawn; try_send for DropNewest/DropOldest,"REQ-RELAY-002|REQ-HAZ-001|REQ-QOS-006"
src/relay.rs,Message::new,meta field is HashMap - non-deterministic order,Byte-identical comparison fails spuriously,S1,LOW,BTreeMap used per section 18.3; meta_ordering_is_deterministic test,"REQ-INT-001|REQ-RELAY-001"
src/relay.rs,Context::done,Expired context returns false - write proceeds past deadline,Late data published after deadline; timing violation,S2,LOW,Instant comparison is monotonic; write_ctx_timeout test,"REQ-PUB-003|REQ-ASIL-010"
src/relay.rs,Context::done,Background context returns true - all writes fail,All Publisher::write_ctx calls return Timeout erroneously,S2,LOW,background() sets deadline to None; done() returns false for None,"REQ-PUB-003|REQ-ASIL-010"
src/participant.rs,SubInner::new,capacity clamped to 256 silently,Queue smaller than expected; premature back-pressure,S1,LOW,min(capacity-256) documented; boundary test for channel_depth,"REQ-RT-005|REQ-MEM-004|REQ-IEC-001"
src/mock/mod.rs,MockParticipant::written_payloads,Returns stale payloads after reset(),Test assertion uses stale data,S1,LOW,reset() replaces Vec contents; written_payloads_log test,REQ-MOCK-003
src/participant.rs,SampleReceiver::try_recv,Returns None when sample present (race with push),Caller believes queue empty; sample silently lost,S2,LOW,Mutex lock guarantees coherent pop; try_recv_non_blocking test,"REQ-RT-002|REQ-CONC-001"
src/bin/main.rs,version output,relay_spec_version field emitted (disallowed by section 12.1),relay conform --strict FAIL; CI gate blocked,S2,LOW,struct uses spec_version field only; relay-conform CI gate,"REQ-RELAY-004|REQ-RELAY-005"
src/bin/main.rs,capabilities output,Required field missing (e.g. optional_interfaces omitted),Section 12.2 schema validation fails; relay-conform CI blocks PR,S2,LOW,All section 12.2 required fields present; relay-conform CI gate,"REQ-RELAY-004|REQ-RELAY-005"
src/bin/main.rs,status output,ok field emitted instead of healthy (disallowed by section 12.3),Section 12.3 schema validation fails,S2,LOW,struct uses healthy bool field; relay-conform CI gate,"REQ-RELAY-004|REQ-RELAY-005"
build.rs,RUSTC_VERSION capture,rustc not found at build time - RUSTC_VERSION empty,runtime field in section 12.1 JSON is empty string,S1,LOW,unwrap_or_else provides fallback string; release-build CI gate,"REQ-DO-005|REQ-RELAY-004"
src/mock/mod.rs,Broker::subscribe (TransientLocal cache),Cache delivers more than history_depth samples,Subscriber overwhelmed with stale data,S1,LOW,push_to_cache enforces history_depth limit; transient_local test,"REQ-QOS-005|REQ-QOS-002"
src/participant.rs,SubInner (concurrent access),Deadlock: Broker Mutex held while SubInner Mutex acquired,System hangs; safety function cannot complete,S3,LOW,Single-lock protocol: Broker lock released before SubInner.push called,"REQ-CONC-003|REQ-CONC-001|REQ-IEC-006"
src/types.rs+src/relay.rs,Sample::to_message meta insertion,meta key ordering non-deterministic between runs,Byte-identical comparison fails; protocol conformance lost,S1,LOW,BTreeMap guarantees sorted order; meta_ordering_is_deterministic test,"REQ-INT-001|REQ-RELAY-001"
